k_alpha,k_epsilon,epsilon_0,cumulative_mean,mean,std,max,min,median
1e-07,1e-06,0.2,-2.7384744670169052,-7.729337628833448,213.99467825511888,303.8889690410481,-602.9818284305677,-11.150703976381983
1e-07,1e-06,0.2,-3.839793696608613,158.0355865535052,140.5276402973551,310.92670597264737,-379.55495754055903,225.10931286139953
5e-06,1e-06,0.2,-4.86954036230569,63.83455103809627,177.94681067922633,301.4958902903271,-614.7280766211421,150.90164559091573
0.0001,1e-06,0.2,-17.03973369578936,39.80963448283579,196.0078535543539,275.727556166308,-540.7633279524762,148.21228547800982
1e-07,5e-06,0.2,36.176974226195725,159.59075196352927,136.70203993181426,295.6862691535614,-420.8196452245441,222.9931332167011
5e-06,5e-06,0.2,46.077235630075556,163.0103061192761,133.5349364242045,287.19888383295387,-380.7440185718524,221.59027627569708
0.0001,5e-06,0.2,6.682767679614145,67.71895621828529,195.56521471616165,297.5946300735285,-463.79401490272335,185.68043539211942
1e-07,1e-05,0.2,32.53452183557084,134.38078306660853,152.50108249437662,312.3422587214363,-507.68044690126874,213.2225945673992
5e-06,1e-05,0.2,48.14559129908314,143.91216533682513,146.92437705434816,294.36028596756415,-464.86927291163397,218.3396266826598
0.0001,1e-05,0.2,3.2583894260059547,70.17427045610732,188.9979151159119,290.12125530070466,-556.2098587557679,182.44306731684068
1e-07,0.0001,0.2,30.555158077008613,86.50912774100398,130.60336135175322,295.60672359078063,-424.35972107386607,115.40107727702994
5e-06,0.0001,0.2,39.57892252374517,127.09464686862424,141.72165844486636,299.65183877650435,-433.7579783977724,198.07566475048645
0.0001,0.0001,0.2,10.406629853294367,87.8247038741201,169.574287558628,281.6128837637482,-471.278526358283,185.23649932012313
1e-07,1e-06,0.5,-63.50414177674771,4.311125712514925,187.53251383057153,295.2007456948596,-657.650752950509,-24.410625563763745
5e-06,1e-06,0.5,-67.48256636282252,52.07939922573942,189.89430909214445,295.63622890556235,-557.370110271383,100.37519528251019
0.0001,1e-06,0.5,-84.85684951052266,-41.44514584128145,184.241109048302,307.58427229663135,-554.6426820027037,-45.19450850387925
1e-07,5e-06,0.5,-24.764739648525566,71.46271009485889,158.0016685632375,296.3201227304674,-573.5620973195327,144.5950071226739
5e-06,5e-06,0.5,-23.5742323315288,125.21832993855654,151.57756329428446,296.3562505134522,-477.4322086945191,200.59039593785036
0.0001,5e-06,0.5,-26.769257132367603,59.78470212614922,192.96132312982022,307.83805858964007,-530.7325198394059,167.75310442039796
1e-07,1e-05,0.5,-0.08803416395790736,147.0791149142571,142.64338891132758,319.7311301601102,-570.0563364087462,217.72396657429744
5e-06,1e-05,0.5,5.041838138973506,105.23005161496995,147.80169395972405,289.82125334810735,-585.014379583137,184.66384927346644
0.0001,1e-05,0.5,-27.169310320462344,64.87896988931563,183.1686459719972,286.287709922697,-533.1093694297186,170.048989370278
1e-07,0.0001,0.5,10.755009011943905,125.3420091908412,143.77165037687874,285.94504125358424,-404.3862801266496,199.45943434626892
5e-06,0.0001,0.5,-4.254365743621675,108.89723671880394,151.02493495999343,293.1087798146078,-477.95829895552805,189.2923825951159
0.0001,0.0001,0.5,-28.701879894573764,31.908711450813755,193.9641418727592,284.1394925261077,-483.04416929975986,14.764651456788933
