k_epsilon,epsilon_0,cumulative_mean,mean,std,max,min,median
1e-07,0.5,-73.02717675345998,-5.642349810989719,71.70077510913944,301.3269324431685,-375.49263399296404,-6.945750343216609
1e-06,0.5,-44.12070052925814,0.8436874005233221,75.8703958097536,295.6195459363041,-517.2714913996529,-5.701337349436507
1e-05,0.5,-41.318985657478315,-16.773069070637625,50.294836003949854,291.5099773878001,-409.04150199615196,-14.925097869403523
0.0001,0.5,-55.4565973739955,-42.815385083458,55.080924926042556,270.1226813996659,-391.9545853597663,-42.15382491642848
1e-07,0.2,-46.959689370259554,17.65972674175925,98.99328469018745,295.82234205091856,-405.1343579361026,-5.835115497102834
1e-06,0.2,-35.568503482321915,-1.767962504162072,60.19396270969575,310.0968251288363,-429.7576006974728,-3.607188886642568
1e-05,0.2,-14.391819606218666,14.135995091322707,107.08051314385598,305.0309510888562,-290.81778061920494,-19.152456117822233
0.0001,0.2,-40.005341411590166,-27.929754966682967,56.86163945417132,306.7032530531743,-402.20601012885163,-23.455562950106838
1e-07,0.1,-38.11802682801105,18.009944555468355,108.02873260312468,307.2309564491825,-364.24451260760463,-16.378784796072622
1e-06,0.1,-43.16813118958381,-19.565793222948095,49.62287300841527,287.3995030003574,-409.9847729251914,-20.938419573900006
1e-05,0.1,-52.57391853655584,-40.94052717610454,37.69937833034563,266.7406226283714,-354.28528759643245,-40.55271471576341
0.0001,0.1,-49.53588121307046,-40.1772045464816,48.21907230633617,282.1493915964304,-456.1157230052095,-38.57152956053428
1e-07,0.05,-41.61643787349289,-17.383779944182287,53.27571226298919,267.1421125639707,-417.04402744010724,-18.029685321699354
1e-06,0.05,-40.74657985308978,-22.48170541286994,48.46289926951096,270.9254557854558,-346.8334273868619,-20.894138149677566
1e-05,0.05,-51.019811618308864,-38.080544094879876,36.34630991724184,227.3653001788988,-366.792970023274,-36.303869890590505
0.0001,0.05,-51.47932922099062,-42.265397082046256,53.90056281591674,293.2085289508541,-369.279408888632,-45.049612963391525
