lambda,k_alpha,k_epsilon,epsilon_0,cumulative_mean,mean,std,max,min,median
0,1e-07,1e-07,0.2,-46.9279379107136,-18.385598420808616,193.90269091244392,301.6983535373404,-705.5648157700853,-25.761340863361262
0.5,1e-07,1e-07,0.2,2.8201496914508803,6.417181904416494,596.4263050272363,307.87308627755147,-12343.440914436585,145.00809769125448
0.8,1e-07,1e-07,0.2,-51.561896268820696,-118.82189763660412,407.80817947205173,299.5226042577315,-6374.509616119648,-66.83419107355749
0,1e-07,0.0001,0.2,33.05720739492974,93.80550365846729,153.66989842909717,297.5233287179019,-503.1401201240096,178.56203983199165
0.5,1e-07,0.0001,0.2,94.36200940687843,135.11935074675333,136.74856486158228,310.969609526151,-519.2369945690939,205.71389185629477
0.8,1e-07,0.0001,0.2,36.98115254695506,13.71126192020973,554.8849955236898,289.5716660204854,-11669.517174027857,31.327298126063994
0,0.0001,1e-07,0.2,-67.30111315286744,11.58596483870603,206.97532824913867,296.44503920472425,-556.8294204194399,-9.331568325087353
0.5,0.0001,1e-07,0.2,25.167339752511655,144.5048970709424,152.9967379366716,299.76958833817184,-500.02877277025976,217.4379426157816
0.8,0.0001,1e-07,0.2,19.730577267004804,34.124091915911855,885.261072006196,316.7783694265301,-14589.48947840495,213.97754653385365
0,0.0001,0.0001,0.2,15.307825671176207,55.27750015824526,179.33736864457444,284.57924940866764,-526.7968794558988,113.14844283192959
0.5,0.0001,0.0001,0.2,66.3365812291992,116.28513258669159,151.093868817247,287.69260303753117,-667.882518252484,195.96374269198552
0.8,0.0001,0.0001,0.2,69.36740074570007,102.80887973359772,140.82895200700813,319.4713915688435,-382.4363973238985,39.15207046788508
0,1e-07,1e-07,0.5,-93.23800832127036,-101.99573868018776,284.64457136407907,292.3275774722822,-5338.651846253558,-61.33379296645225
0.5,1e-07,1e-07,0.5,-74.93155210187595,-239.50496917767785,774.120222950005,311.11589041027065,-13077.769678443816,-72.961680516563
0.8,1e-07,1e-07,0.5,-99.63147610923252,-120.98640405494923,172.09713546146563,278.45986827084835,-4194.16050731785,-85.51462629674717
0,1e-07,0.0001,0.5,26.955415729896785,101.24155848405023,157.51906697979734,308.3950165847847,-618.0288221954522,188.8668894096843
0.5,1e-07,0.0001,0.5,77.62688869250583,121.36904567426414,129.40929409201775,295.79620233258356,-459.24947156068686,187.12934434466607
0.8,1e-07,0.0001,0.5,27.981746672165468,45.11393212179867,121.04215385618325,270.68152306749414,-411.8965491374253,17.7667157630088
0,0.0001,1e-07,0.5,-94.46564560214654,-204.57517789806627,192.74231116160888,307.123590663133,-731.2102656004931,-197.2404651296556
0.5,0.0001,1e-07,0.5,-72.06650458899276,-77.66516195324817,177.05074689523033,294.2510053982553,-3157.530531262518,-62.77707852498824
0.8,0.0001,1e-07,0.5,-70.66522862476222,-82.17032187749902,314.3920110748852,290.2070658146498,-4978.116705937965,-54.70489993253362
0,0.0001,0.0001,0.5,6.562314596353201,54.35383013173345,191.18713870946317,299.3240115781905,-489.5636234434719,153.37912037700906
0.5,0.0001,0.0001,0.5,66.17414081240872,111.86699152764551,159.1203425005905,287.18572127508594,-495.99332219076337,195.23945758238239
0.8,0.0001,0.0001,0.5,29.407246788533186,56.86098921534744,136.19163468545074,309.09521972473783,-393.2567479096644,3.423320754848511
